Time–Die Zeit_Die Zeiten
Brick–Die Ziegel_Die Ziegel
Rifle–Das Gewehr_Die Gewehre
Career–Die Karriere_Die Karrieren
Issue–Das Thema_Die Probleme
Opportunity–Die Gelegenheit_Die Chancen
Director–Der Direktor_Die Direktoren
Monster–Das Monster_Die Monster
Vehicle–Das Fahrzeug_Die Fahrzeuge
Alley–Die Gasse_Die Gassen
Sleeve–Die Hülse_Die Ärmel
Grave–Das Grab_Die Gräber
Bush–Der Busch_Die Büsche
Dining–Der Speisesaal_Die Dinings
Opening–Die Eröffnung_Die Öffnungen
Twin–Der Zwilling_Die Zwillinge
Barn–Die Scheune_Die Scheunen
Pound–Das Pfund_Die Pfunde
Site–Der Standort_Die Websites
Flash–Der Blitz_Die Blitze
Judge–Der Richter_Die Richter
Mass–Die Masse_Die Massen
Process–Der Prozess_Die Prozesse
Tie–Das Band_Die Bande
Purse–Der Geldbeutel_Die Geldbeutel
Pipe–Das Rohr_Die Röhren
Dragon–Der Drache_Die Drachen
Horizon–Der Horizont_Die Horizonte
Tray–Die Schale_Die Traies
Envelope–Der Umschlag_Die Umschläge
Check–Die Prüfung_Die Kontrollen
Adult–Die Erwachsene_Die Erwachsenen
Emergency–Der Notfall_Die Emergencys
Material–Das Material_Die Materialien
Childhood–Die Kindheit_Die Kindheit
Habit–Die Angewohnheit_Die Gewohnheiten
Artist–Der Künstler_Die Artisten
Address–Die Adresse_Die Adressen
Scent–Der Duft_Die Düfte
Universe–Das Universum_Die Universen
Nod–Das Kopfnicken_Die Nickt
Shell–Die Muschel_Die Schalen
Community–Die Gemeinde_Die Gemeinden
Start–Der Anfang_Beginnt Der
Wound–Die Wunde_Die Wunden
Mouse–Die Maus_Die Mäuse
Pilot–Der Pilot_Die Piloten
Grade–Die Klasse_Die Noten
Video–Das Video_Die Videos
Basket–Der Korb_Die Körbe
Wagon–Der Wagen_Die Wagen
Attempt–Der Versuch_Die Versuche
Sofa–Das Sofa_Die Sofas
Cake–Der Kuchen_Die Kuchen
Fellow–Der Kerl_Die Kerle
Affair–Die Affäre_Die Angelegenheiten
Shore–Die Küste_Die Ufer
General–Die Allgemeine_Die Generäle
Root–Der Ursprung_Die Wurzeln
Robe–Die Robe_Die Gewänder
Concern–Die Sorge_Die Bedenken
Press–Die Presse_Die Pressen
Rat–Die Ratte_Die Ratten
Society–Die Gesellschaft_Die Gesellschaften
Style–Der Stil_Die Stile
County–Die Kreis_Die Landkreise
Command–Der Befehl_Die Befehle
Visitor–Der Besucher_Die Besucher
Model–Das Model_Die Modelle
Chamber–Die Kammer_Die Kammern
Beast–Das Biest_Die Tiere
Bunch–Das Bündel_Die Trauben
Background–Der Hintergrund_Die Hintergründe
Unit–Die Einheit_Die Einheiten
Furniture–Die Möbel_Die Möbel
Nail–Der Nagel_Die Nägel
Scream–Der Schrei_Die Schreie
Property–Die Eigenschaft_Eigenschaften
Equipment–Die Ausrüstung_Die Ausrüstungen
Driveway–Die Auffahrt_Die Einfahrten
Grip–Der Griff_Die Griffe
Tube–Das Rohr_Die Röhren
Ash–Die Asche_Die Asche
Fan–Der Fan_Die Fans
Opinion–Die Meinung_Die Ansichten
Data–Die Daten_Die Daten
Connection–Die Verbindung_Die Verbindungen
Trick–Der Trick_Die Tricks
Mystery–Das Mysterium_Die Geheimnisse
Period–Die Periode_Die Perioden
Writing–Das Schreiben_Die Schriften
Horror–Der Horror_Die Schrecken
Candy–Die Süßigkeit_Die Bonbons
Bitch–Die Bitch_Die Hündinnen
Health–Die Gesundheit_Die Healths
Manager–Der Geschäftsführer_Die Manager
Safety–Die Sicherheit_Die Sicherheiten
Height–Die Höhe_Die Höhen
Appearance–Die Erscheinung_Die Erscheinungen
Sigh–Der Seufzer_Die Sighes
Mine–Die Mine_Die Bergwerke
Cloth–Die Kleidung_Die Tücher
Reaction–Die Reaktion_Die Reaktionen
Source–Die Quelle_Die Quellen
Self–Das Ich_Die Selfs
Pistol–Die Pistole_Die Pistolen
Airport–Der Flughafen_Die Flughäfen
Hero–Der Held_Die Helden
Promise–Das Versprechen_Die Versprechen
Bow–Der Bogen_Die Bögen
Tent–Das Zelt_Die Zelte
Booth–Der Messestand_Die Stände
Cash–Das Geld_Die Kassen
Avenue–Die Straße_Die Alleen
TShirt–Das TShirt_Die TShirts
Carpet–Der Teppich_Die Teppiche
Basement–Der Keller_Die Keller
Girlfriend–Die Freundin_Die Freundinnen
Beard–Der Bart_Die Bärte
Brow–Die Stirn_Die Augenbrauen
Display–Der Bildschirm_Die Anzeigen
Signal–Das Signal_Die Signale
Servant–Der Diener_Die Diener
Whisper–Das Flüstern_Das Flüstern
Doubt–Der Zweifel_Die Zweifel
Account–Das Konto_Die Accounts
Magic–Die Magie_Die Magie
Hank–Die Hank_Die Stränge
Limb–Das Glied_Die Schenkel
Bastard–Der Bastard_Die Bastarde
Skull–Der Schädel_Die Schädel
Sentence–Der Satz_Die Sätze
Collar–Der Kragen_Die Kragen
Horn–Das Horn_Die Hörner
Oak–Die Eiche_Die Eichen
Ankle–Der Knöchel_Die Knöchel
Doll–Die Puppe_Die Puppen
Sandwich–Das Sandwich_Die Sandwiches
Robin–Das Rotkehlchen_Die Rotkehlchen
Justice–Die Justiz_Die Richter
Pride–Der Stolz_Die Rudel
Youth–Die Jugend_Die Jugendlichen
Secretary–Der Sekretär_Die Sekretäre
Research–Die Forschung_Die Forschungen
Sport–Der Sport_Die Sport
Task–Die Aufgabe_Die Aufgaben
Grant–Der Zuschuss_Die Zuschüsse
Sheriff–Der Sheriff_Die Sheriffs
Midnight–Die Mitternachts_Die Mitternächte
Chip–Der Chip_Die Chips
Theory–Die Theorie_Theorien
Alarm–Den Wecker_Die Alarme
Collection–Die Sammlung_Die Sammlungen
Cross–Das Kreuz_Die Kreuze
Pine–Die Kiefer_Die Kiefern
Generation–Die Generation_Die Generationen
Authority–Die Autorität_Die Behörden
Papa–Die Papa_Die Papas
Journey–Die Reise_Die Reisen
Pearl–Die Perle_Die Perlen
Toilet–Die Toilette_Die Toiletten
Killer–Der Mörder_Die Mörder
Tool–Das Werkzeug_Die Werkzeuge
Medicine–Die Medizin_Die Medikamente
Sugar–Der Zucker_Die Zucker
Princess–Die Prinzessin_Die Prinzessinnen
Argument–Das Argument_Die Argumente
Cliff–Die Klippe_Die Klippen
Cart–Der Wagen_Die Wagen
Crystal–Der Kristall_Die Kristalle
Bean–Die Bohne_Die Bohnen
Cage–Der Käfig_Die Käfige
Chocolate–Die Schokolade_Die Pralinen
Coast–Die Küste_Die Küsten
Decade–Das Jahrzehnt_Die Jahrzehnte
Meaning–Die Bedeutung_Die Bedeutungen
Gear–Das Getriebe_Die Zahnräder
Suitcase–Der Koffer_Die Koffer
Operation–Die Operation_Die Operationen
Breathing–Das Atem_Die Breathings
Role–Die Rolle_Die Rollen
Version–Die Version_Fassungen
Prisoner–Der Gefangene_Die Gefangenen
Match–Das Match_Die Spiele
Beam–Der Strahl_Die Strahlen
Castle–Die Burg_Die Schlösser
Rush–Der Ansturm_Die Binsen
Lane–Die Fahrspur_Die Bahnen
Clothing–Die Bekleidung_Die Garnituren
Pole–Der Pol_Die Pole
Freedom–Die Freiheit_Die Freiheiten
Skill–Das Können_Die Fähigkeiten
Passion–Die Leidenschaft_Die Leidenschaften
Activity–Die Aktivität_Die Aktivitäten
Fuck–Zum Teufel_Die Fickt
Platform–Die Platform_Die Plattformen
Salt–Das Salz_Die Salze
Bike–Das Fahrrad_Die Fahrräder
Stack–Der Stapel_Die Stapel
Companion–Der Begleiter_Die Gefährten
Fate–Das Schicksal_Die Schicksale
Rage–Die Wut_Die Wütet
Supply–Die Versorgung_Die Lieferungen
Whale–Der Wal_Die Wale
Pig–Das Schwein_Die Schweine
Rabbit–Der Hase_Die Hasen
Aisle–Der Gang_Die Gänge
Monitor–Der Bildschirm_Die Monitore
Helmet–Der Helm_Die Helme
Respect–Der Respekt_Die Beziehung
Excitement–Die Aufregung_Die Aufregungen
Lobby–Die Lobby_Die Lobbys
Boyfriend–Der Freund_Die Freunde
Fur–Das Fell_Die Felle
Range–Der Bereich_Die Bereiche
Dick–Die Dick_Die Schwänze
Code–Der Code_Die Codes
Chapter–Das Kapitel_Die Kapitel
Reflection–Die Reflexion_Die Reflexionen
Mail–Die Post_Die EMails
Fly–Der Flug_Die Fliegen
Cabinet–Das Kabinett_Die Schränke
Toy–Das Spielzeug_Die Spielzeuge
Baseball–Die Baseball_The Baseballs
Inside–Das Innere_Die Innenseiten
Pace–Die Geschwindigkeit_Die Schritte
Handle–Der Griff_Die Griffe
Lead–Die Führung_Die Zuleitungen
Amount–Die Summe_Die Beträge
Nerve–Der Nerv_Die Nerven
Terror–Der Schrecken_Die Schrecken
Sweater–Der Pullover_Die Pullover
Quality–Die Qualität_Die Qualitäten
Hunter–Der Jäger_Die Jäger
Paint–Die Farbe_Die Anstriche
Buster–Die Buster_The Busters
Cotton–Die Baumwolle_Die Baumwollstoffe
Sergeant–Der Wachtmeister_Die Feldwebel
Credit–Der Kredit_Die Kredite
Blow–Der Schlag_Die Schläge
Devil–Der Teufel_Die Teufel
Threat–Die Bedrohung_Die Drohungen
Success–Der Erfolg_Erfolge
Eve–Dem Vorabend_Die Eves
Cable–Das Kabel_Die Kabel
Pan–Die Pfanne_Die Pfannen
Clerk–Der Angestellte_Die Schreiber
Title–Den Titel_Die Titel
Meter–Das Messgerät_Die Zähler
Shame–Die Schande_Die Schande
Needle–Die Nadel_Die Nadeln
Lung–Die Lunge_Die Lungen
Warrior–Der Krieger_Die Krieger
Circumstance–Der Umstand_Die Umstände
Studio–Das Studio_Die Studios
Panic–Die Panik_Die Panik
Lack–Der Mangel_Das Fehlt
Farmer–Der Bauer_Die Bauern
Accent–Der Akzent_Die Akzente
Bomb–Die Bombe_Die Bomben
Panel–Die Platte_Die Paneele
Ability–Die Fähigkeit_Die Das Können
Fortune–Das Glück_Die Geschicke
Victor–Der Sieger_Die Sieger
Feather–Die Feder_Die Federn
Grandma–Die Oma_Die Großmütter
Glow–Das Glühen_Die Glüht
Behavior–Das Verhalten_Die Verhaltensweisen
Passage–Der Durchgang_Die Durchgänge
Slave–Die Slave_Die Sklaven
Lieutenant–Der Leutnant_Die Leutnants
Barrel–Der Lauf_Die Fässer
Warmth–Die Wärme_Die Warmths
Impression–Der Eindruck_Die Eindrücke
Mason–Der Maurer_Die Maurer
Bride–Die Braut_Die Bräute
Package–Das Paket_Die Pakete
Fog–Der Nebel_Die Nebel
Walking–Das Gehen_Die Wanderungen
Balance–Die Balance_Die Salden
Sock–Die Socke_Die Socken
Robot–Der Roboter_Die Roboter
Potato–Die Kartoffel_Die Kartoffeln
Item–Der Gegenstand_Die Gegenstände
Bath–Das Bad_Die Bäder
Diamond–Der Diamant_Die Diamanten
Corpse–Die Leiche_Die Leichen
Explanation–Die Erklärung_Die Erläuterungen
Structure–Die Struktur_Die Strukturen
Exit–Der Ausgang_Die Ausgänge
Pad–Das Pad_Die Pads
Stove–Der Herd_Die Öfen
Blue–Das Blaue_Der Blues
American–Die Amerikaner_Die Amerikaner
Ruby–Der Rubin_Die Rubinen
Lightning–Der Blitz_Blitze
Pit–Die Grube_Die Gruben
Colonel–Der Oberst_Die Obersten
Dock–Das Dock_Die Docks
Creek–Der Bach_Die Bäche
Advice–Der Ratschlag_Die Ratschläge
Tourist–Der Tourist_Die Touristen
Grief–Die Trauer_Die Schmerzen
Defense–Die Verteidigung_Die Abwehrkräfte
Bite–Der Biss_Die Bisse
Museum–Das Museum_Die Museen
Favor–Die Gefallen_Die Gefälligkeiten
Supper–Das Abendessen_Die Abendessen
Comfort–Der Komfort_Komfort
Dean–Der Dekan_Die Dekane
Value–Der Wert_Die Werte
March–Der Marsch_Die Märsche
Estate–Das Anwesen_Die Stände
Poet–Der Poet_Die Dichter
Palace–Der Palast_Die Paläste
Soup–Die Suppe_Die Suppen
Nation–Die Nation_Die Nationen
Jar–Das Gefäss_Die Gläser
Standing–Der Ständige_Die Tabellenführung
Sack–Der Sack_Die Säcke
Demon–Der Dämon_Die Dämonen
Conference–Die Konferenz_Die Konferenzen
Juice–Der Saft_Die Säfte
Responsibility–Die Verantwortung_Die Zuständigkeiten
Brush–Der Pinsel_Die Bürsten
Route–Die Route_Die Strecken
Cheese–Der Käse_Die Käse
Hood–Die Haube_Die Hauben
Duck–Die Ente_Die Ente
Saint–Der Heilige_Die Heiligen
Pass–Der Pass_Die Pässe
Target–Das Ziel_Die Ziele
Orange–Die Orange_Die Orangen
Culture–Die Kultur_Die Kulturen
Tour–Die Reise_Die Touren
Commander–Der Kommandant_Die Kommandeure
Hook–Der Haken_Die Haken
Mist–Der Nebel_Die Nebel
Training–Das Training_Die Trainings
Search–Die Suche_Die Suche
Coin–Die Münze_Die Münzen
Miracle–Das Wunder_Die Wunder
Advantage–Der Vorteil_Die Vorteile
Exchange–Der Austausch_Die Börsen
Fiction–Die Fiktion_Fiktionen
Pond–Der Teich_Die Teiche
Assistant–Der Assistent_Die Assistenten
Design–Das Design_Die Entwürfe
Fishing–Die Angel_Die Fishings
Slope–Die Piste_Die Pisten
Earl–Der Graf_Die Grafen
Comment–Kommentar_Kommentare
Waiter–Der Kellner_Die Kellner
Grocery–Von Lebensmittel_Die Lebensmittel
Ladder–Die Leiter_Die Leitern
Curve–Die Kurve_Die Kurven
Volume–Das Volumen_Die Volumina
Risk–Das Risiko_Die Risiken
Nightmare–Der Albtraum_Die Alpträume
Existence–Die Existenz_Die Existenzen
Trace–Die Spur_Die Spuren
Disease–Die Krankheit_Die Krankheiten
Support–Die Unterstützung_Die Stützen
Witness–Der Zeuge_Die Zeugen
Stock–Die Aktie_Die Bestände
Device–Das Gerät_Die Vorrichtungen
Landscape–Die Landschaft_Die Landschaften
Holiday–Der Urlaub_Die Feiertage
Ace–Das Ass_Die Asse
Piano–Das Klavier_Die Klaviere
Gut–Die Eingeweide_Die Eingeweide
Talent–Das Talent_Die Talente
Imagination–Die Phantasie_Die Vorstellungen
Black–Die Schwarze_Die Schwarzen
Reed–Der Reed_Das Schilf
Lid–Der Deckel_Die Deckel
Hint–Der Hinweis_Die Hinweise
Walker–Der Wanderer_Die Wanderer
Chill–Die Kälte_Schüttelfrost
Trial–Die Studie_Die Prüfungen
Interview–Das Interview_Die Interviews
Approach–Der Ansatz_Die Ansätze
Scar–Die Narbe_Die Narben
Fashion–Die Mode_Die Mode
Channel–Der Kanal_Die Kanäle
Footstep–Die Tritt_Die Schritte
Pickup–Der Aufnehmer_Die Pickups
Hawk–Der Habicht_Die Falken
Trailer–Der Anhänger_Die Anhänger
Statue–Die Statue_Die Statuen
Pill–Die Pille_Die Pillen
Bug–Der Käfer_Die Bugs
Bucket–Der Eimer_Die Eimer
Vacation–Den Urlaub_Die Urlaub
Species–Die Arten_Die Specieses
Column–Die Kolumne_Die Spalten
Damage–Der Schaden_Die Schäden
Instrument–Das Instrument_Die Instrumente
Port–Der Hafen_Die Ports
Layer–Die Schicht_Die Schichten
Strip–Der Streifen_Die Streifen
Garbage–Der Müll_Die Garbages
Rib–Die Rippe_Die Rippen
Notebook–Das Notebook_Die Notizbücher
Corn–Der Mais_Die Hühneraugen
Offer–Das Angebot_Die Angebote
Drawing–Die Zeichnung_Die Zeichnungen
Statement–Die Aussage_Die Aussagen
Intelligence–Die Intelligenz_Die Intelligenzen
Excuse–Die Entschuldigung_Die Ausreden
Landing–Die Landung_Die Landungen
Copyright–Der Urheberrechts_Die Urheberrechte
Rod–Die Stange_Die Stäbe
Fantasy–Die Fantasie_Die Phantasien
Curiosity–Die Neugier_Die Kuriositäten
Gown–Das Kleid_Die Kleider
Border–Die Grenze_Die Grenzen
Poetry–Die Poesie_Die Dichtungen
Firm–Die Firma_Die Firmen
Rise–Der Aufgang_Der Anstieg
Handful–Die Handvoll_Die Hände Voll
China–Die China_Die Chinas
French–Die Franzosen_Die Frenches
Mean–Die Durchschnitts_Die Mittel
Deer–Das Reh_Die Hirsche
Print–Die Druck_Die Drucke
Rail–Die Schiene_Die Schienen
Rate–Die Rate_Die Preise
Courage–Der Mut_Die Courages
Arrival–Die Ankunft_Die Ankünfte
Wish–Der Wunsch_Wünsche
Ridge–Der Grat_Die Grate
Idiot–Der Idiot_Die Idioten
Bull–Der Bulle_Die Bullen
Seed–Die Saat_Die Samen
Progress–Der Fortschritt_Die Fortschritte
Feel–Das Gefühl_Es Fühlt Sich An
Shorts–Die Shorts_Die Shortses
Citizen–Der Bürger_Die Bürger
Trash–Der Müll_Die Trashes
Log–Das Protokoll_Die Protokolle
Patience–Die Geduld_Die Patiencen
Bat–Die Fledermaus_Die Fledermäuse
Football–Der Fußball_Die Fußbälle
Routine–Die Routine_Die Routinen
Explosion–Die Explosion_Die Explosionen
Content–Der Inhalt_Die Inhalte
Scientist–Der Wissenschaftler_Die Wissenschaftler
Failure–Das Versagen_Die Ausfälle
Sin–Die Sünde_Die Sünden
Butt–Der Hintern_Die Füße
Confusion–Die Verwirrung_Die Verwirrungen
Understanding–Das Verständnis_Die Absprachen
Trade–Der Handel_Das Handwerk
Refrigerator–Der Kühlschrank_Die Kühlschränke
Mister–Der Herr_Die Misters
Flashlight–Die Taschenlampe_Die Taschenlampen
Net–Das Internet_Die Netze
Sailor–Der Seemann_Die Matrosen
Attitude–Die Attitüde_Die Haltungen
Guilt–Die Schuld_Die Schuldgefühle
Crying–Das Weinen_Die Geschrei
Sip–Die Sip_Sips
Travel–Die Reise_Die Reisen
Cookie–Der Keks_Die Kekse
Escape–Die Flucht_Die Fluchten
Instruction–Die Anleitung_Die Anleitungen
Fabric–Das Gewebe_Die Stoffe
Marble–Der Marmor_Die Murmeln
Glimpse–Der Blick_Die Einblicke
Dusk–Die Dämmerung_Die Dämmerungen
Cottage–Die Hütte_Die Ferienhäuser
Monkey–Der Affe_Die Affen
Makeup–Das Makeup_Die MakeUps
Doc–Die Doc_Die Docs
Blouse–Die Bluse_Die Blusen
Rhythm–Der Rhythmus_Die Rhythmen
Steam–Der Dampf_Die Dämpfe
Phrase–Der Satz_Die Phrasen
Nut–Die Mutter_Die Muttern
Pencil–Der Bleistift_Die Stifte
Cook–Der Koch_Die Köche
Flag–Die Flagge_Die Fahnen
Coach–Der Trainer_Die Trainer
Swing–Die Schaukel_Die Schaukeln
Speaker–Der Lautsprecher_Die Lautsprecher
Bolt–Der Bolzen_Die Bolzen
Fat–Das Fett_Die Fette
Rug–Der Teppich_Die Teppiche
Knock–Die Klopf_Die Schläge
Spell–Der Zauber_Die Zaubersprüche
Taxi–Das Taxi_Die Taxis
Round–Die Runde_Die Runden
Straw–Der Strohhalm_Die Halme
Hatch–Die Luke_Die Luken
Fork–Die Gabel_Die Gabeln
Evil–Das Böse_Die Übel
Maid–Das Dienstmädchen_Die Zimmermädchen
Relative–Die Relative_Die Verwandten
Witch–Die Hexe_Die Hexen
Courtyard–Der Hof_Die Höfe
Sensation–Die Sensation_Die Empfindungen
Bubble–Die Blase_Die Blasen
Reader–Der Leser_Die Leser
Curl–Die Locke_Die Locken
Pie–Der Kuchen_Die Torten
Jet–Der Strahl_Die Jets
Shift–Die Verschiebung_Die Verschiebungen
Union–Die Union_Die Gewerkschaften
Teenager–Der Teenager_Die Teenager
Plain–Die Ebene_Die Ebenen
Waitress–Die Kellnerin_Die Kellnerinnen
Reply–Die Antwort_Die Antworten
Rumor–Das Gerücht_Gerüchte
Gravity–Die Schwerkraft_Die Gewichte
Shelter–Die Zuflucht_Die Unterstände
Adventure–Das Abenteuer_Die Abenteuer
Lion–Der Löwe_Die Löwen
Spine–Die Wirbelsäule_Die Stacheln
Confidence–Das Vertrauen_Die Vertraulichkeiten
Depth–Die Tiefe_Die Tiefen
Reach–Die Reichweite_Die Reichweiten
Hammer–Der Hammer_Die Hämmer
Bible–Die Bibel_Die Bibeln
Contract–Der Vertrag_Die Verträge
Wallet–Der Geldbeutel_Die Brieftaschen
Jungle–Der Dschungel_Die Dschungel
Factory–Die Fabrik_Die Fabriken
Indian–Die Indische_Die Indianer
Balcony–Der Balkon_Die Balkone
Rice–Der Reis_Die Reis
Knot–Der Knoten_Die Knoten
Cord–Die Schnur_Die Schnüre
Colleague–Der Kollege_Die Kollegen
Intention–Die Absicht_Die Absichten
Stare–Die Stare_Die Blicke
Motel–Das Motel_Die Motels
Attorney–Der Anwalt_Die Anwälte
Darling–Der Liebling_Die Lieblinge
Discussion–Die Diskussion_Die Diskussionen
Atmosphere–Atmosphäre_Die Atmosphären
Performance–Die Leistung_Die Aufführungen
Tension–Die Spannung_Die Spannungen
Text–Der Text_Die Texte
Strand–Der Strang_Die Litzen
Noon–Die Mittags_Die Noons
Vein–Die Vene_Die Venen
Expert–Der Experte_Die Experten
Gang–Die Gruppe_Die Banden
Policeman–Der Polizist_Die Police
Cancer–Der Krebs_Die Krebs
Fox–Der Fuchs_Die Foxs
Divorce–Die Scheidung_Die Scheidungen
Pulse–Die Impuls_Die Pulse
Absence–Die Abwesenheit_Die Abwesenheiten
Violence–Die Gewalt_Die Gewalten
Humor–Der Humor_Die Körpersäfte
Stool–Der Stuhl_Die Stühle
Gravel–Der Kies_Die Kiese
Treasure–Der Schatz_Schätze
Butter–Die Butter_Die Butter
Switch–Der Schalter_Die Schalter
Cigar–Die Zigarre_Die Zigarren
Canvas–Die Leinwand_Die Leinwände
Happiness–Die Fröhlichkeit_Die Seligkeiten
Guide–Der Führer_Die Führungen
Pin–Der Stift_Die Stifte
Actor–Der Schauspieler_Die Akteure
Whole–Das Ganze_Die Löcher
Arrangement–Die Vereinbarung_Die Vereinbarungen
Brown–Die Braune_Die Brauntöne
Host–Der Gastgeber_Die Gastgeber
Ribbon–Das Farbband_Die Bänder
Scarf–Der Schal_Die Schals
Scale–Die Skala_Die Waagen
Proof–Der Beweis_Die Beweise
Arrow–Der Pfeil_Die Pfeile
Temperature–Die Temperatur_Die Temperaturen
Technology–Die Technologie_Technologien
Permission–Die Erlaubnis_Die Berechtigungen
Location–Der Ort_Die Standorte
Claw–Die Klaue_Die Krallen
Cowboy–Der Cowboy_Die Cowboies
Agency–Die Agentur_Die Agenturen
Construction–Die Konstruktion_Die Konstruktionen
Hunting–Das Jagd_Die Jagden
Vegetable–Das Gemüse_Das Gemüse
Tin–Die Dose_Die Dosen
Helicopter–Der Hubschrauber_Die Hubschrauber
Trap–Die Falle_Die Fallen
Pat–Das Pat_Die Streicheleinheiten
Gap–Die Lücke_Die Lücken
Pet–Das Haustier_Die Haustiere
Education–Die Bildung_Die Ausbildungen
Shopping–Das Einkaufen_Die Einkäufe
Shed–Der Schuppen_Die Schuppen
Agreement–Die Vereinbarung_Vereinbarungen
Soil–Die Erde_Die Böden
Duke–Der Herzog_Die Herzöge
Shotgun–Die Schrotflinte_Die Schrotflinten
Notion–Die Vorstellung_Die Begriffe
Rear–Es Gibt_Die Hintern
Ceremony–Die Zeremonie_Die Zeremonien
Spoon–Der Löffel_Die Löffel
Tub–Die Wanne_Die Wannen
Clue–Der Schlüssel_Die Hinweise
Iris–Die Iris_Die Iris
Incident–Der Vorfall_Die Vorfälle
Crash–Der Absturz_Die Abstürze
Journal–Das Tagebuch_Die Zeitschriften
Access–Die Zugriffs_Die Zugriffe
Brass–Erz_Die Brasses
Mommy–Die Mama_Die Mamas
Sidebar–Die Seitenleiste_Die Seitenleisten
Sheep–Das Schaf_Die Schafe
Engineer–Der Ingenieur_Die Ingenieure
Hull–Der Rumpf_Die Rümpfe
Odor–Der Geruch_Die Gerüche
Appointment–Der Termin_Die Termine
Invitation–Die Einladung_Die Einladungen
Rag–Die Lappen_Die Lumpen
Good–Das Gute_Die Güter
Dude–Der Kumpel_Die Dudes
Treatment–Die Behandlung_Behandlungen
Wisdom–Die Weisheit_Die Weisheiten
Prize–Der Preis_Die Preise
Element–Das Element_Die Elemente
Giant–Der Gigant_Die Riesen
Napkin–Die Serviette_Die Servietten
Laundry–Die Wäsche_Die Wäschereien
Option–Die Option_Die Optionen
Rack–Das Regal_Die Zahnstangen
Request–Die Anforderung_Die Anfragen
Jail–Das Gefängnis_Die Gefängnisse
Grandpa–Der Opa_Die Großväter
Ranch–Die Ranch_Die Ranches
Dot–Der Punkt_Die Punkte
Script–Das Skript_Die Skripte
Mall–Die Einkaufshalle_Die Einkaufszentren
Ford–Der Ford_Die Furten
Exercise–Die Übung_Die Übungen
Widow–Die Witwe_Die Witwen
Crow–Die Krähe_Die Krähen
Thread–Der Faden_Die Fäden
Suicide–Die Selbstmord_Die Selbstmorde
Notice–Die Notiz_Die Bekanntmachungen
Sunset–Der Sonnenuntergang_Die Sonne Geht Unter
Gallery–Die Gallerie_Die Galerien
Vessel–Das Schiff_Die Gefäße
Thunder–Der Donner_Der Donner
Soap–Die Seife_Seifen
Whiskey–Der Whisky_Die Whiskys
Female–Das Weibchen_Die Weibchen
Mayor–Der Bürgermeister_Die Bürgermeister
Stroke–Der Hub_Die Striche
Click–Der Klick_Die Klicks
Reputation–Der Ruf_Der Ruf
Miller–Der Müller_Die Müller
Council–Der Rat_Die Räte
Schedule–Der Stundenplan_Der Spielplan
Cemetery–Der Friedhof_Die Friedhöfe
Struggle–Der Kampf_Die Kämpfe
Instinct–Der Instinkt_Die Instinkte
Calm–Die Ruhe_Die Beruhigt
Employee–Der Arbeitnehmer_Die Angestellten
Nest–Das Nest_Die Nester
Limit–Das Limit_Die Grenzwerte
German–Der Deutsche_Die Deutschen
Monk–Der Mönch_Die Mönche
Worm–Der Wurm_Die Würmer
Document–Das Dokument_Die Dokumente
Sadness–Die Traurigkeit_Die Traurigkeiten
Hut–Die Hütte_Die Hütten
Lifetime–Die Lebensdauer_Die Lebensdauern
Dancer–Die Tänzerin_Die Tänzer
Insurance–Die Versicherung_Die Versicherungen
Difficulty–Die Schwierigkeit_Die Schwierigkeiten
Mattress–Die Matratze_Die Matratzen
Male–Der Mann_Die Männchen
Clinic–Die Klinik_Die Kliniken
Ad–Die Ad_Die Anzeigen
Mug–Der Becher_Die Becher
Kit–Das Kit_Die Kits
Communication–Die Kommunikation_Die Kommunikations
Disaster–Das Unglück_Die Katastrophen
Tile–Die Fliese_Die Fliesen
Receiver–Der Empfänger_Die Empfänger
Roar–Das Gebrüll_Die Brüllt
Troop–Die Truppe_Die Truppen
Coffin–Der Sarg_Die Särge
Friendship–Die Freundschaft_Die Freundschaften
Investigation–Die Ermittlung_Die Untersuchungen
Sale–Der Verkauf_Die Verkäufe
Goal–Das Ziel_Die Ziele
Ambulance–Der Krankenwagen_Die Krankenwagen
Moonlight–Das Mondlicht_Die Mondlicht
Ward–The Ward_Die Schutzzauber
Trousers–Die Hosen_Die Trouserses
Wool–Die Wolle_Die Wolle
Mac–Die Mac_Die Macs
Minister–Der Minister_Die Minister
Entry–Der Eintritt_Die Einträge
Thief–Der Dieb_Die Diebe
Briefcase–Die Aktentasche_Die Aktentaschen
Pity–Das Mitleid_Die Bemitleidet
Fingertip–Die Finger_Die Fingerspitzen
Navy–Die Marine_Die Marinen
Insect–Das Insekt_Die Insekten
Velvet–The Velvet_Die Samt
Bee–Die Biene_Die Bienen
Cane–Der Stock_Die Stöcke
Gene–Das Gen_Die Gene
Salad–Der Salat_Die Salate
Windshield–Die Windschutzscheibe_Die Windschutzscheiben
Outfit–Das Outfit_Die Outfits
Shuttle–Der Shuttle_Die Shuttles
Shout–Der Schrei_Die Rufe
Fury–Die Wut_Die Furien
Challenge–Die Herausforderung_Die Herausforderungen
Satisfaction–Die Zufriedenheit_Die Zufriedenheiten
Motor–Der Motor_Die Motoren
Product–Das Produkt_Die Produkte
Weed–Das Unkraut_Das Unkraut
Stretch–Die Strecke_Die Strecken
Gym–Das Fitnesscenter_Die FitnessStudios
Capital–Das Kapital_Die Hauptstädte
